participant_code,survey_ab,sentence_type,sentence_code,rating
45,Eng_A,def_article,1a,5
45,Eng_A,no_def_article,2b,5
45,Eng_A,def_article,3a,5
45,Eng_A,no_def_article,4b,5
45,Eng_A,def_article,5a,5
45,Eng_A,no_def_article,6b,5
45,Eng_A,indef_article,7a,5
45,Eng_A,no_indef_article,8b,4
45,Eng_A,indef_article,9a,1
45,Eng_A,no_indef_article,10b,4
45,Eng_A,indef_article,11a,5
45,Eng_A,no_indef_article,12b,5
45,Eng_A,poss,13a,4
45,Eng_A,own,14b,5
45,Eng_A,poss,15a,5
45,Eng_A,own,16b,5
45,Eng_A,poss,17a,5
45,Eng_A,own,18b,5
45,Eng_A,main_pre,19a,5
45,Eng_A,main_post,20b,3
45,Eng_A,main_pre,21a,5
45,Eng_A,main_post,22b,3
45,Eng_A,main_pre,23a,5
45,Eng_A,main_post,24b,2
41,Eng_A,def_article,1a,5
41,Eng_A,no_def_article,2b,4
41,Eng_A,def_article,3a,5
41,Eng_A,no_def_article,4b,4
41,Eng_A,def_article,5a,5
41,Eng_A,no_def_article,6b,4
41,Eng_A,indef_article,7a,5
41,Eng_A,no_indef_article,8b,4
41,Eng_A,indef_article,9a,3
41,Eng_A,no_indef_article,10b,5
41,Eng_A,indef_article,11a,5
41,Eng_A,no_indef_article,12b,2
41,Eng_A,poss,13a,5
41,Eng_A,own,14b,5
41,Eng_A,poss,15a,5
41,Eng_A,own,16b,4
41,Eng_A,poss,17a,4
41,Eng_A,own,18b,5
41,Eng_A,main_pre,19a,2
41,Eng_A,main_post,20b,5
41,Eng_A,main_pre,21a,5
41,Eng_A,main_post,22b,3
41,Eng_A,main_pre,23a,2
41,Eng_A,main_post,24b,1
47,Eng_A,def_article,1a,5
47,Eng_A,no_def_article,2b,5
47,Eng_A,def_article,3a,5
47,Eng_A,no_def_article,4b,5
47,Eng_A,def_article,5a,4
47,Eng_A,no_def_article,6b,5
47,Eng_A,indef_article,7a,5
47,Eng_A,no_indef_article,8b,2
47,Eng_A,indef_article,9a,5
47,Eng_A,no_indef_article,10b,5
47,Eng_A,indef_article,11a,2
47,Eng_A,no_indef_article,12b,1
47,Eng_A,poss,13a,5
47,Eng_A,own,14b,1
47,Eng_A,poss,15a,5
47,Eng_A,own,16b,5
47,Eng_A,poss,17a,3
47,Eng_A,own,18b,5
47,Eng_A,main_pre,19a,3
47,Eng_A,main_post,20b,1
47,Eng_A,main_pre,21a,5
47,Eng_A,main_post,22b,2
47,Eng_A,main_pre,23a,2
47,Eng_A,main_post,24b,4
43,Eng_A,def_article,1a,5
43,Eng_A,no_def_article,2b,5
43,Eng_A,def_article,3a,5
43,Eng_A,no_def_article,4b,5
43,Eng_A,def_article,5a,5
43,Eng_A,no_def_article,6b,2
43,Eng_A,indef_article,7a,5
43,Eng_A,no_indef_article,8b,5
43,Eng_A,indef_article,9a,5
43,Eng_A,no_indef_article,10b,4
43,Eng_A,indef_article,11a,4
43,Eng_A,no_indef_article,12b,4
43,Eng_A,poss,13a,5
43,Eng_A,own,14b,1
43,Eng_A,poss,15a,4
43,Eng_A,own,16b,1
43,Eng_A,poss,17a,5
43,Eng_A,own,18b,1
43,Eng_A,main_pre,19a,5
43,Eng_A,main_post,20b,1
43,Eng_A,main_pre,21a,5
43,Eng_A,main_post,22b,1
43,Eng_A,main_pre,23a,4
43,Eng_A,main_post,24b,1
44,Eng_A,def_article,1a,5
44,Eng_A,no_def_article,2b,5
44,Eng_A,def_article,3a,5
44,Eng_A,no_def_article,4b,5
44,Eng_A,def_article,5a,4
44,Eng_A,no_def_article,6b,5
44,Eng_A,indef_article,7a,5
44,Eng_A,no_indef_article,8b,4
44,Eng_A,indef_article,9a,2
44,Eng_A,no_indef_article,10b,4
44,Eng_A,indef_article,11a,5
44,Eng_A,no_indef_article,12b,4
44,Eng_A,poss,13a,5
44,Eng_A,own,14b,1
44,Eng_A,poss,15a,5
44,Eng_A,own,16b,1
44,Eng_A,poss,17a,4
44,Eng_A,own,18b,1
44,Eng_A,main_pre,19a,3
44,Eng_A,main_post,20b,3
44,Eng_A,main_pre,21a,5
44,Eng_A,main_post,22b,3
44,Eng_A,main_pre,23a,2
44,Eng_A,main_post,24b,1
59,Eng_A,def_article,1a,5
59,Eng_A,no_def_article,2b,2
59,Eng_A,def_article,3a,5
59,Eng_A,no_def_article,4b,2
59,Eng_A,def_article,5a,3
59,Eng_A,no_def_article,6b,2
59,Eng_A,indef_article,7a,5
59,Eng_A,no_indef_article,8b,3
59,Eng_A,indef_article,9a,3
59,Eng_A,no_indef_article,10b,2
59,Eng_A,indef_article,11a,5
59,Eng_A,no_indef_article,12b,5
59,Eng_A,poss,13a,3
59,Eng_A,own,14b,1
59,Eng_A,poss,15a,3
59,Eng_A,own,16b,1
59,Eng_A,poss,17a,4
59,Eng_A,own,18b,2
59,Eng_A,main_pre,19a,2
59,Eng_A,main_post,20b,1
59,Eng_A,main_pre,21a,5
59,Eng_A,main_post,22b,2
59,Eng_A,main_pre,23a,2
59,Eng_A,main_post,24b,1
57,Eng_A,def_article,1a,4
57,Eng_A,no_def_article,2b,4
57,Eng_A,def_article,3a,3
57,Eng_A,no_def_article,4b,1
57,Eng_A,def_article,5a,5
57,Eng_A,no_def_article,6b,4
57,Eng_A,indef_article,7a,5
57,Eng_A,no_indef_article,8b,2
57,Eng_A,indef_article,9a,1
57,Eng_A,no_indef_article,10b,3
57,Eng_A,indef_article,11a,5
57,Eng_A,no_indef_article,12b,5
57,Eng_A,poss,13a,5
57,Eng_A,own,14b,5
57,Eng_A,poss,15a,5
57,Eng_A,own,16b,5
57,Eng_A,poss,17a,4
57,Eng_A,own,18b,5
57,Eng_A,main_pre,19a,4
57,Eng_A,main_post,20b,5
57,Eng_A,main_pre,21a,5
57,Eng_A,main_post,22b,5
57,Eng_A,main_pre,23a,5
57,Eng_A,main_post,24b,5
53,Eng_A,def_article,1a,5
53,Eng_A,no_def_article,2b,5
53,Eng_A,def_article,3a,5
53,Eng_A,no_def_article,4b,1
53,Eng_A,def_article,5a,5
53,Eng_A,no_def_article,6b,5
53,Eng_A,indef_article,7a,5
53,Eng_A,no_indef_article,8b,5
53,Eng_A,indef_article,9a,5
53,Eng_A,no_indef_article,10b,5
53,Eng_A,indef_article,11a,5
53,Eng_A,no_indef_article,12b,5
53,Eng_A,poss,13a,5
53,Eng_A,own,14b,5
53,Eng_A,poss,15a,5
53,Eng_A,own,16b,5
53,Eng_A,poss,17a,5
53,Eng_A,own,18b,3
53,Eng_A,main_pre,19a,5
53,Eng_A,main_post,20b,5
53,Eng_A,main_pre,21a,5
53,Eng_A,main_post,22b,5
53,Eng_A,main_pre,23a,4
53,Eng_A,main_post,24b,5
61,Eng_A,def_article,1a,3
61,Eng_A,no_def_article,2b,3
61,Eng_A,def_article,3a,5
61,Eng_A,no_def_article,4b,1
61,Eng_A,def_article,5a,1
61,Eng_A,no_def_article,6b,3
61,Eng_A,indef_article,7a,5
61,Eng_A,no_indef_article,8b,1
61,Eng_A,indef_article,9a,4
61,Eng_A,no_indef_article,10b,5
61,Eng_A,indef_article,11a,5
61,Eng_A,no_indef_article,12b,5
61,Eng_A,poss,13a,5
61,Eng_A,own,14b,5
61,Eng_A,poss,15a,2
61,Eng_A,own,16b,2
61,Eng_A,poss,17a,5
61,Eng_A,own,18b,5
61,Eng_A,main_pre,19a,3
61,Eng_A,main_post,20b,3
61,Eng_A,main_pre,21a,5
61,Eng_A,main_post,22b,5
61,Eng_A,main_pre,23a,4
61,Eng_A,main_post,24b,2
63,Eng_A,def_article,1a,4
63,Eng_A,no_def_article,2b,4
63,Eng_A,def_article,3a,3
63,Eng_A,no_def_article,4b,3
63,Eng_A,def_article,5a,4
63,Eng_A,no_def_article,6b,4
63,Eng_A,indef_article,7a,4
63,Eng_A,no_indef_article,8b,1
63,Eng_A,indef_article,9a,1
63,Eng_A,no_indef_article,10b,3
63,Eng_A,indef_article,11a,4
63,Eng_A,no_indef_article,12b,3
63,Eng_A,poss,13a,4
63,Eng_A,own,14b,4
63,Eng_A,poss,15a,3
63,Eng_A,own,16b,4
63,Eng_A,poss,17a,4
63,Eng_A,own,18b,3
63,Eng_A,main_pre,19a,3
63,Eng_A,main_post,20b,2
63,Eng_A,main_pre,21a,3
63,Eng_A,main_post,22b,4
63,Eng_A,main_pre,23a,4
63,Eng_A,main_post,24b,4
50,Eng_B,no_def_article,1b,5
50,Eng_B,def_article,2a,5
50,Eng_B,no_def_article,3b,3
50,Eng_B,def_article,4a,2
50,Eng_B,no_def_article,5b,3
50,Eng_B,def_article,6a,4
50,Eng_B,no_indef_article,7b,5
50,Eng_B,indef_article,8a,2
50,Eng_B,no_indef_article,9b,1
50,Eng_B,indef_article,10a,4
50,Eng_B,no_indef_article,11b,5
50,Eng_B,indef_article,12a,5
50,Eng_B,own,13b,5
50,Eng_B,poss,14a,4
50,Eng_B,own,15b,2
50,Eng_B,poss,16a,4
50,Eng_B,own,17b,4
50,Eng_B,poss,18a,2
50,Eng_B,main_post,19b,2
50,Eng_B,main_pre,20a,1
50,Eng_B,main_post,21b,4
50,Eng_B,main_pre,22a,2
50,Eng_B,main_post,23b,3
50,Eng_B,main_pre,24a,3
46,Eng_B,no_def_article,1b,4
46,Eng_B,def_article,2a,5
46,Eng_B,no_def_article,3b,4
46,Eng_B,def_article,4a,5
46,Eng_B,no_def_article,5b,4
46,Eng_B,def_article,6a,5
46,Eng_B,no_indef_article,7b,4
46,Eng_B,indef_article,8a,4
46,Eng_B,no_indef_article,9b,4
46,Eng_B,indef_article,10a,5
46,Eng_B,no_indef_article,11b,4
46,Eng_B,indef_article,12a,5
46,Eng_B,own,13b,4
46,Eng_B,poss,14a,5
46,Eng_B,own,15b,3
46,Eng_B,poss,16a,4
46,Eng_B,own,17b,2
46,Eng_B,poss,18a,5
46,Eng_B,main_post,19b,3
46,Eng_B,main_pre,20a,5
46,Eng_B,main_post,21b,2
46,Eng_B,main_pre,22a,5
46,Eng_B,main_post,23b,3
46,Eng_B,main_pre,24a,5
48,Eng_B,no_def_article,1b,2
48,Eng_B,def_article,2a,5
48,Eng_B,no_def_article,3b,2
48,Eng_B,def_article,4a,4
48,Eng_B,no_def_article,5b,2
48,Eng_B,def_article,6a,5
48,Eng_B,no_indef_article,7b,1
48,Eng_B,indef_article,8a,1
48,Eng_B,no_indef_article,9b,1
48,Eng_B,indef_article,10a,5
48,Eng_B,no_indef_article,11b,1
48,Eng_B,indef_article,12a,5
48,Eng_B,own,13b,2
48,Eng_B,poss,14a,5
48,Eng_B,own,15b,2
48,Eng_B,poss,16a,5
48,Eng_B,own,17b,1
48,Eng_B,poss,18a,5
48,Eng_B,main_post,19b,3
48,Eng_B,main_pre,20a,4
48,Eng_B,main_post,21b,3
48,Eng_B,main_pre,22a,2
48,Eng_B,main_post,23b,1
48,Eng_B,main_pre,24a,5
42,Eng_B,no_def_article,1b,5
42,Eng_B,def_article,2a,3
42,Eng_B,no_def_article,3b,2
42,Eng_B,def_article,4a,5
42,Eng_B,no_def_article,5b,1
42,Eng_B,def_article,6a,5
42,Eng_B,no_indef_article,7b,5
42,Eng_B,indef_article,8a,5
42,Eng_B,no_indef_article,9b,4
42,Eng_B,indef_article,10a,5
42,Eng_B,no_indef_article,11b,5
42,Eng_B,indef_article,12a,5
42,Eng_B,own,13b,4
42,Eng_B,poss,14a,5
42,Eng_B,own,15b,2
42,Eng_B,poss,16a,5
42,Eng_B,own,17b,3
42,Eng_B,poss,18a,5
42,Eng_B,main_post,19b,1
42,Eng_B,main_pre,20a,5
42,Eng_B,main_post,21b,5
42,Eng_B,main_pre,22a,4
42,Eng_B,main_post,23b,1
42,Eng_B,main_pre,24a,5
49,Eng_B,no_def_article,1b,5
49,Eng_B,def_article,2a,5
49,Eng_B,no_def_article,3b,4
49,Eng_B,def_article,4a,5
49,Eng_B,no_def_article,5b,5
49,Eng_B,def_article,6a,5
49,Eng_B,no_indef_article,7b,5
49,Eng_B,indef_article,8a,5
49,Eng_B,no_indef_article,9b,1
49,Eng_B,indef_article,10a,5
49,Eng_B,no_indef_article,11b,5
49,Eng_B,indef_article,12a,5
49,Eng_B,own,13b,5
49,Eng_B,poss,14a,2
49,Eng_B,own,15b,5
49,Eng_B,poss,16a,5
49,Eng_B,own,17b,1
49,Eng_B,poss,18a,5
49,Eng_B,main_post,19b,5
49,Eng_B,main_pre,20a,1
49,Eng_B,main_post,21b,5
49,Eng_B,main_pre,22a,5
49,Eng_B,main_post,23b,5
49,Eng_B,main_pre,24a,5
40,Eng_B,no_def_article,1b,4
40,Eng_B,def_article,2a,5
40,Eng_B,no_def_article,3b,4
40,Eng_B,def_article,4a,4
40,Eng_B,no_def_article,5b,5
40,Eng_B,def_article,6a,5
40,Eng_B,no_indef_article,7b,3
40,Eng_B,indef_article,8a,4
40,Eng_B,no_indef_article,9b,2
40,Eng_B,indef_article,10a,1
40,Eng_B,no_indef_article,11b,4
40,Eng_B,indef_article,12a,4
40,Eng_B,own,13b,2
40,Eng_B,poss,14a,5
40,Eng_B,own,15b,4
40,Eng_B,poss,16a,5
40,Eng_B,own,17b,4
40,Eng_B,poss,18a,5
40,Eng_B,main_post,19b,3
40,Eng_B,main_pre,20a,4
40,Eng_B,main_post,21b,5
40,Eng_B,main_pre,22a,4
40,Eng_B,main_post,23b,4
40,Eng_B,main_pre,24a,5
52,Eng_B,no_def_article,1b,5
52,Eng_B,def_article,2a,5
52,Eng_B,no_def_article,3b,5
52,Eng_B,def_article,4a,5
52,Eng_B,no_def_article,5b,5
52,Eng_B,def_article,6a,5
52,Eng_B,no_indef_article,7b,5
52,Eng_B,indef_article,8a,5
52,Eng_B,no_indef_article,9b,1
52,Eng_B,indef_article,10a,5
52,Eng_B,no_indef_article,11b,5
52,Eng_B,indef_article,12a,5
52,Eng_B,own,13b,2
52,Eng_B,poss,14a,5
52,Eng_B,own,15b,5
52,Eng_B,poss,16a,5
52,Eng_B,own,17b,5
52,Eng_B,poss,18a,5
52,Eng_B,main_post,19b,2
52,Eng_B,main_pre,20a,5
52,Eng_B,main_post,21b,5
52,Eng_B,main_pre,22a,5
52,Eng_B,main_post,23b,3
52,Eng_B,main_pre,24a,5
56,Eng_B,no_def_article,1b,3
56,Eng_B,def_article,2a,3
56,Eng_B,no_def_article,3b,2
56,Eng_B,def_article,4a,2
56,Eng_B,no_def_article,5b,2
56,Eng_B,def_article,6a,4
56,Eng_B,no_indef_article,7b,3
56,Eng_B,indef_article,8a,3
56,Eng_B,no_indef_article,9b,2
56,Eng_B,indef_article,10a,4
56,Eng_B,no_indef_article,11b,3
56,Eng_B,indef_article,12a,5
56,Eng_B,own,13b,2
56,Eng_B,poss,14a,4
56,Eng_B,own,15b,2
56,Eng_B,poss,16a,3
56,Eng_B,own,17b,1
56,Eng_B,poss,18a,4
56,Eng_B,main_post,19b,4
56,Eng_B,main_pre,20a,2
56,Eng_B,main_post,21b,3
56,Eng_B,main_pre,22a,3
56,Eng_B,main_post,23b,2
56,Eng_B,main_pre,24a,4
64,Eng_B,no_def_article,1b,5
64,Eng_B,def_article,2a,5
64,Eng_B,no_def_article,3b,5
64,Eng_B,def_article,4a,5
64,Eng_B,no_def_article,5b,4
64,Eng_B,def_article,6a,5
64,Eng_B,no_indef_article,7b,5
64,Eng_B,indef_article,8a,5
64,Eng_B,no_indef_article,9b,1
64,Eng_B,indef_article,10a,5
64,Eng_B,no_indef_article,11b,5
64,Eng_B,indef_article,12a,5
64,Eng_B,own,13b,5
64,Eng_B,poss,14a,5
64,Eng_B,own,15b,4
64,Eng_B,poss,16a,5
64,Eng_B,own,17b,5
64,Eng_B,poss,18a,5
64,Eng_B,main_post,19b,5
64,Eng_B,main_pre,20a,5
64,Eng_B,main_post,21b,5
64,Eng_B,main_pre,22a,5
64,Eng_B,main_post,23b,5
64,Eng_B,main_pre,24a,5
58,Eng_B,no_def_article,1b,5
58,Eng_B,def_article,2a,4
58,Eng_B,no_def_article,3b,5
58,Eng_B,def_article,4a,5
58,Eng_B,no_def_article,5b,3
58,Eng_B,def_article,6a,5
58,Eng_B,no_indef_article,7b,3
58,Eng_B,indef_article,8a,5
58,Eng_B,no_indef_article,9b,4
58,Eng_B,indef_article,10a,5
58,Eng_B,no_indef_article,11b,3
58,Eng_B,indef_article,12a,5
58,Eng_B,own,13b,1
58,Eng_B,poss,14a,5
58,Eng_B,own,15b,1
58,Eng_B,poss,16a,5
58,Eng_B,own,17b,1
58,Eng_B,poss,18a,5
58,Eng_B,main_post,19b,4
58,Eng_B,main_pre,20a,4
58,Eng_B,main_post,21b,1
58,Eng_B,main_pre,22a,4
58,Eng_B,main_post,23b,3
58,Eng_B,main_pre,24a,4
60,Eng_B,no_def_article,1b,5
60,Eng_B,def_article,2a,5
60,Eng_B,no_def_article,3b,4
60,Eng_B,def_article,4a,5
60,Eng_B,no_def_article,5b,5
60,Eng_B,def_article,6a,5
60,Eng_B,no_indef_article,7b,5
60,Eng_B,indef_article,8a,5
60,Eng_B,no_indef_article,9b,5
60,Eng_B,indef_article,10a,5
60,Eng_B,no_indef_article,11b,5
60,Eng_B,indef_article,12a,5
60,Eng_B,own,13b,5
60,Eng_B,poss,14a,5
60,Eng_B,own,15b,4
60,Eng_B,poss,16a,5
60,Eng_B,own,17b,4
60,Eng_B,poss,18a,5
60,Eng_B,main_post,19b,3
60,Eng_B,main_pre,20a,3
60,Eng_B,main_post,21b,4
60,Eng_B,main_pre,22a,3
60,Eng_B,main_post,23b,3
60,Eng_B,main_pre,24a,3
54,Eng_B,no_def_article,1b,4
54,Eng_B,def_article,2a,5
54,Eng_B,no_def_article,3b,5
54,Eng_B,def_article,4a,4
54,Eng_B,no_def_article,5b,4
54,Eng_B,def_article,6a,5
54,Eng_B,no_indef_article,7b,4
54,Eng_B,indef_article,8a,4
54,Eng_B,no_indef_article,9b,5
54,Eng_B,indef_article,10a,4
54,Eng_B,no_indef_article,11b,4
54,Eng_B,indef_article,12a,5
54,Eng_B,own,13b,2
54,Eng_B,poss,14a,4
54,Eng_B,own,15b,1
54,Eng_B,poss,16a,5
54,Eng_B,own,17b,1
54,Eng_B,poss,18a,5
54,Eng_B,main_post,19b,5
54,Eng_B,main_pre,20a,5
54,Eng_B,main_post,21b,1
54,Eng_B,main_pre,22a,5
54,Eng_B,main_post,23b,1
54,Eng_B,main_pre,24a,5
62,Eng_B,no_def_article,1b,2
62,Eng_B,def_article,2a,2
62,Eng_B,no_def_article,3b,1
62,Eng_B,def_article,4a,1
62,Eng_B,no_def_article,5b,2
62,Eng_B,def_article,6a,4
62,Eng_B,no_indef_article,7b,1
62,Eng_B,indef_article,8a,1
62,Eng_B,no_indef_article,9b,1
62,Eng_B,indef_article,10a,5
62,Eng_B,no_indef_article,11b,2
62,Eng_B,indef_article,12a,1
62,Eng_B,own,13b,3
62,Eng_B,poss,14a,3
62,Eng_B,own,15b,3
62,Eng_B,poss,16a,4
62,Eng_B,own,17b,3
62,Eng_B,poss,18a,1
62,Eng_B,main_post,19b,3
62,Eng_B,main_pre,20a,3
62,Eng_B,main_post,21b,3
62,Eng_B,main_pre,22a,1
62,Eng_B,main_post,23b,3
62,Eng_B,main_pre,24a,4
NA,NA,NA,NA,3.774436090225564
